0  |       Art and Architecture|                        BBB|   617.600327
1  |       Art and Architecture|                         CE|   850.215708
2  |       Art and Architecture|                       CSRB|   963.545257
3  |       Art and Architecture|                   Chrysler|   524.373054
4  |       Art and Architecture|                     Cooley|   771.574095
5  |       Art and Architecture|                        DOW|   653.726797
6  |       Art and Architecture|                       DUDE|   593.968066
7  |       Art and Architecture|                       EECS|   671.898349
8  |       Art and Architecture|                      ENGIN|   708.197700
9  |       Art and Architecture|                       EWRE|   693.756197
10 |       Art and Architecture|                      FMCRB|   979.645621
11 |       Art and Architecture|                        FXB|   812.994213
12 |       Art and Architecture|                       GGBL|   695.874346
13 |       Art and Architecture|  Gorguze Family Laboratory|   872.994213
14 |       Art and Architecture|                        IOE|   739.925006
15 |       Art and Architecture|                       LBME|   816.126628
16 |       Art and Architecture|      Music, Theater, Dance|   238.793304
17 |       Art and Architecture|                       NAME|  1126.107882
18 |       Art and Architecture|                       NCRC|  1401.079587
19 |       Art and Architecture|                       Name|  1144.562960
20 |       Art and Architecture|                  Pierpoint|   728.519049
21 |       Art and Architecture|                   Pierpont|   495.195264
22 |       Art and Architecture|                     STAMPS|   529.540073
23 |       Art and Architecture|              Wilson Center|   864.161337
24 |                        BBB|                         CE|   232.615381
25 |                        BBB|                       CSRB|   345.944931
26 |                        BBB|                   Chrysler|   151.582854
27 |                        BBB|                     Cooley|   309.233874
28 |                        BBB|                        DOW|    36.126471
29 |                        BBB|                       DUDE|   152.488247
30 |                        BBB|                       EECS|   132.463725
31 |                        BBB|                      ENGIN|   266.717881
32 |                        BBB|                       EWRE|   154.321573
33 |                        BBB|                      FMCRB|   440.210998
34 |                        BBB|                        FXB|   273.559589
35 |                        BBB|                       GGBL|    78.274020
36 |                        BBB|  Gorguze Family Laboratory|   307.615381
37 |                        BBB|                        IOE|   298.445187
38 |                        BBB|                       LBME|   372.898855
39 |                        BBB|      Music, Theater, Dance|   378.807022
40 |                        BBB|                       NAME|   586.673259
41 |                        BBB|                       NCRC|   861.644963
